SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30_59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60_89DaysPastDueNotWorse,NumberOfDependents
0,0.213178682,74,0,0.375606969,3500,3,0,1,0,1
0,0.452515828,24,0,0.011761247,3400,1,0,0,0,0
0,0.368875933,68,0,1687.5,1,31,0,1,0,0
0,0.029164236,31,0,0.395031809,3300,10,0,1,0,0
0,0.317975796,34,0,0.297933792,4500,11,0,2,0,0
0,0,48,2,0.370876375,3000,14,0,1,0,5
0,0.323719804,63,0,0.610841267,5146,9,0,2,0,2
0,0.008632035,79,0,0.365151154,4200,9,0,1,0,0
0,0.083945242,64,0,0.588073078,2900,6,0,1,0,0
0,0.051368557,68,0,0.445277361,4668,10,0,1,0,2
0,0.082317351,64,0,0.214426305,8636,29,0,1,0,1
0,0.026944485,41,0,0.686736475,4583,8,0,3,0,0
0,0.354125994,57,0,0.558762411,4330,4,0,1,0,0
0,0.155644438,56,0,0.336831584,2000,5,0,1,0,0
0,0.732202177,44,0,0.258576628,12912,26,0,0,0,0
0,0.01239876,50,3,0.207518671,11916,4,0,1,0,0
0,0.160899231,33,0,0.182363527,3333,13,0,0,0,0
0,0.238016933,58,0,0.601017347,7666,5,0,3,0,0
0,0.249922521,63,2,0.254313231,19416,18,0,2,0,1
0,0.994428754,42,0,2336,0,11,0,2,0,3
0,0,31,0,0.432783608,2000,9,0,1,0,0
0,0.5112397,58,0,0.963084409,9453,13,0,3,0,1
0,0.231979494,58,0,0.373801016,10633,28,0,4,0,0
0,0.347921078,42,0,0.373740482,13000,11,0,2,0,2
0,0.802993617,42,1,0.524458002,9178,9,0,1,0,3
0,0.212785199,37,1,106.2727273,21,6,0,2,0,4
0,0.9999999,60,1,10.17127624,3000,4,0,1,1,0
0,0.220201834,34,0,0.462354974,4050,10,0,2,0,1
0,0.099190841,57,0,0.604398743,3500,9,0,2,0,0
1,0.887080965,45,0,0.482275525,4710,4,0,1,1,2
0,0.028458411,54,0,0.21915701,9750,22,0,1,0,0
1,0.965034965,35,0,0.062791628,7500,2,0,1,1,2
0,0.033203829,71,0,0.318874019,6500,11,0,1,0,0
0,0.086460416,27,0,1.055530875,2250,7,0,2,0,0
0,0.525349959,44,0,0.265853034,11716,8,0,2,0,1
0,0.685700235,44,0,0.372925415,5000,10,0,2,0,0
0,0.013095711,55,0,0.363039132,3500,10,0,2,0,0
0,0.9999999,51,0,1.123247319,8486,11,0,9,0,1
0,0.205031355,39,0,0.602840353,4083,10,0,2,0,2
0,0.9999999,36,0,0.082448854,6500,6,0,0,0,1
0,0.270429421,62,0,0.477690571,9300,14,0,3,0,1
0,0.570122822,30,0,0.737718568,1200,5,0,0,0,0
0,0.002681757,51,0,0.732788003,4400,13,0,2,0,2
0,1.624465065,61,0,0.432814229,11750,12,0,1,0,1
0,0.042970201,40,0,45,0,6,0,0,0,0
0,0.909043376,42,0,0.422447194,8000,11,0,2,0,0
0,0.494343504,51,0,0.692561488,3333,6,0,1,0,0
0,0.59410642,42,0,0.838448253,7526,14,0,4,0,2
0,0.786357071,44,0,0.066129456,11416,7,0,0,0,0
1,1.022703603,44,2,0.200471991,8050,6,2,0,2,1
0,0.11397067,35,0,0.667821846,7790,16,0,7,0,0
0,0.016845408,64,0,0.04854831,2100,6,0,0,0,0
0,0.377588854,34,0,0.117312917,4048,5,0,0,0,0
